date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:24:26	10820/10820	---M--	200	added ('OK')	image/png	etag:%223093b8a1089a5acfaa59c89b3b595816%22	https://cdn.greatsoftwares.com.br/arquivos/paginas/14358-e5f21afd6212c5d87d76e0fb0c995f55.png	C:/My%20Web%20Sites/round/cdn.greatsoftwares.com.br/arquivos/paginas/14358-e5f21afd6212c5d87d76e0fb0c995f55.png	(from https://www.roundgluteo.com/procedimentos)
17:24:26	23391/23391	---MCZ	200	added ('OK')	text/css	etag:W/%22c7fa7167e06f26f3f188badecfba0b85%22	https://cdn.greatpages.com.br/www.roundgluteo.com-procedimentos/1689174184/css.css	C:/My%20Web%20Sites/round/cdn.greatpages.com.br/www.roundgluteo.com-procedimentos/1689174184/css.css	(from https://www.roundgluteo.com/procedimentos)
17:24:26	835771/835771	---M--	200	added ('OK')	image/jpeg	etag:%22eb32608b637251ebb97bb9c8c3aafad5%22	https://cdn.greatpages.com.br/www.roundgluteo.com-procedimentos/1689174184/imagens/desktop/254737_1_1687882123649b098b40a28.jpg	C:/My%20Web%20Sites/round/cdn.greatpages.com.br/www.roundgluteo.com-procedimentos/1689174184/imagens/desktop/254737_1_1687882123649b098b40a28.jpg	(from https://www.roundgluteo.com/procedimentos)
17:24:26	103173/103173	---MCZ	200	added ('OK')	application/javascript	etag:W/%220fa0b60119a76d9a13ed6870cde1f5b0%22	https://cdn.greatpages.com.br/www.roundgluteo.com-procedimentos/1689174184/js.js	C:/My%20Web%20Sites/round/cdn.greatpages.com.br/www.roundgluteo.com-procedimentos/1689174184/js.js	(from https://www.roundgluteo.com/procedimentos)
17:24:27	10820/10820	---M--	200	added ('OK')	image/png	etag:%223093b8a1089a5acfaa59c89b3b595816%22	https://cdn.greatsoftwares.com.br/arquivos/paginas/14358-8387e86730cab467d93e82b8d8c8da30.png	C:/My%20Web%20Sites/round/cdn.greatsoftwares.com.br/arquivos/paginas/14358-8387e86730cab467d93e82b8d8c8da30.png	(from https://www.roundgluteo.com/sobre-nos)
17:24:27	508221/508221	---M--	200	added ('OK')	image/jpeg	etag:%2259c10a8bae01145438b8574b76380939%22	https://cdn.greatpages.com.br/www.roundgluteo.com-sobre-nos/1690307453/imagens/desktop/254620_1_1687872865649ae561ee10e.png	C:/My%20Web%20Sites/round/cdn.greatpages.com.br/www.roundgluteo.com-sobre-nos/1690307453/imagens/desktop/254620_1_1687872865649ae561ee10e.jpg	(from https://www.roundgluteo.com/sobre-nos)
17:24:27	23391/23391	---MCZ	200	added ('OK')	text/css	etag:W/%22c7fa7167e06f26f3f188badecfba0b85%22	https://cdn.greatpages.com.br/www.roundgluteo.com-sobre-nos/1690307453/css.css	C:/My%20Web%20Sites/round/cdn.greatpages.com.br/www.roundgluteo.com-sobre-nos/1690307453/css.css	(from https://www.roundgluteo.com/sobre-nos)
17:24:27	97457/97457	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fee56e65e8d0db46088d4a6068a5cbd3%22	https://cdn.greatpages.com.br/www.roundgluteo.com-sobre-nos/1690307453/js.js	C:/My%20Web%20Sites/round/cdn.greatpages.com.br/www.roundgluteo.com-sobre-nos/1690307453/js.js	(from https://www.roundgluteo.com/sobre-nos)
17:24:28	202911/202911	---M--	200	added ('OK')	image/jpeg	etag:%22149aac235130f326fdc9d40c4838ff21%22	https://cdn.greatpages.com.br/www.roundgluteo.com-idiomas/1689174146/imagens/desktop/264810_1_168916470064ae9b9ce78b0.jpg	C:/My%20Web%20Sites/round/cdn.greatpages.com.br/www.roundgluteo.com-idiomas/1689174146/imagens/desktop/264810_1_168916470064ae9b9ce78b0.jpg	(from https://www.roundgluteo.com/idiomas)
17:24:29	372742/372742	---M--	200	added ('OK')	image/jpeg	etag:%22d4f1e6ba5432997d77325e1170b7d190%22	https://cdn.greatpages.com.br/www.roundgluteo.com-idiomas/1689174146/imagens/mobile/264810_1_168916470064ae9b9ce78b0.jpeg	C:/My%20Web%20Sites/round/cdn.greatpages.com.br/www.roundgluteo.com-idiomas/1689174146/imagens/mobile/264810_1_168916470064ae9b9ce78b0.jpg	(from https://www.roundgluteo.com/idiomas)
17:24:29	23794/23794	---MCZ	200	added ('OK')	text/css	etag:W/%22c7fa7167e06f26f3f188badecfba0b85%22	https://cdn.greatpages.com.br/www.roundgluteo.com-idiomas/1689174146/css.css	C:/My%20Web%20Sites/round/cdn.greatpages.com.br/www.roundgluteo.com-idiomas/1689174146/css.css	(from https://www.roundgluteo.com/idiomas)
17:24:30	98458/98458	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f2c3dd0b5003bfc6e93d6f558a6f53e8%22	https://cdn.greatpages.com.br/www.roundgluteo.com-idiomas/1689174146/js.js	C:/My%20Web%20Sites/round/cdn.greatpages.com.br/www.roundgluteo.com-idiomas/1689174146/js.js	(from https://www.roundgluteo.com/idiomas)
